Car_id;Company;Model;Transmission;Color;Price ($);Body Style;Phone
C_CND_000001;Ford;Expedition;Auto;Black;26000;SUV;8264678
C_CND_000002;Dodge;Durango;Auto;Black;19000;SUV;6848189
C_CND_000003;Cadillac;Eldorado;Manual;Red;31500;Passenger;7298798
C_CND_000004;Toyota;Celica;Manual;Pale White;14000;SUV;6257557
C_CND_000005;Acura;TL;Auto;Red;24500;Hatchback;7081483
C_CND_000006;Mitsubishi;Diamante;Manual;Pale White;12000;Hatchback;7315216
C_CND_000007;Toyota;Corolla;Manual;Pale White;14000;Passenger;7727879
C_CND_000008;Mitsubishi;Galant;Auto;Pale White;42000;Passenger;6206512
C_CND_000009;Chevrolet;Malibu;Manual;Pale White;82000;Hardtop;7194857
C_CND_000010;Ford;Escort;Auto;Pale White;15000;Passenger;7836892
C_CND_000011;Acura;RL;Manual;Pale White;31000;SUV;7995489
C_CND_000012;Nissan;Pathfinder;Auto;Pale White;46000;Hardtop;7288103
C_CND_000013;Mercury;Grand Marquis;Auto;Black;9000;SUV;6842408
C_CND_000014;BMW;323i;Auto;Pale White;15000;Hatchback;7558767
C_CND_000015;Chrysler;Sebring Coupe;Manual;Pale White;26000;Sedan;7677191
C_CND_000016;Subaru;Forester;Manual;Pale White;17000;Hatchback;8431908
C_CND_000017;Hyundai;Accent;Manual;Black;18000;Hatchback;7814646
C_CND_000018;Cadillac;Eldorado;Auto;Pale White;31000;Passenger;7456650
C_CND_000019;Toyota;Land Cruiser;Auto;Pale White;33000;SUV;7627010
C_CND_000020;Honda;Accord;Auto;Pale White;21000;Sedan;6736704
C_CND_000021;Toyota;4Runner;Manual;Black;25000;Sedan;7889827
C_CND_000022;Infiniti;I30;Auto;Black;21000;Hardtop;6183219
C_CND_000023;Audi;A4;Manual;Pale White;12000;Hardtop;8097778
C_CND_000024;Porsche;Carrera Cabrio;Auto;Pale White;18000;Passenger;7959858
C_CND_000025;Volkswagen;Jetta;Auto;Pale White;22000;Passenger;8570849
C_CND_000026;Dodge;Viper;Auto;Pale White;31250;SUV;8520534
C_CND_000027;Buick;Regal;Auto;Black;19000;Passenger;6362556
C_CND_000028;Chrysler;LHS;Manual;Pale White;41000;Hatchback;6281210
C_CND_000029;Chrysler;LHS;Manual;Pale White;41000;Hatchback;6292720
C_CND_000030;Saturn;LW;Manual;Pale White;13000;Hatchback;7698986
C_CND_000031;Mitsubishi;3000GT;Manual;Pale White;20000;Sedan;8847858
C_CND_000032;Mercedes-B;SLK230;Manual;Pale White;14000;Hatchback;8344679
C_CND_000033;Honda;Accord;Auto;Pale White;19000;Sedan;6827044
C_CND_000034;Honda;Civic;Manual;Black;43000;Hatchback;7954038
C_CND_000035;Jaguar;S-Type;Auto;Black;16000;Passenger;7400390
C_CND_000036;Volvo;S40;Auto;Pale White;42000;Sedan;7153628
C_CND_000037;Mercury;Mountaineer;Auto;Pale White;21000;SUV;6125796
C_CND_000038;Buick;Park Avenue;Auto;Black;61000;Hatchback;7438037
C_CND_000039;Mitsubishi;Montero Sport;Auto;Pale White;39000;SUV;6837588
C_CND_000040;Nissan;Sentra;Auto;Black;16000;Passenger;7213857
C_CND_000041;Chrysler;Sebring Coupe;Manual;Pale White;26000;Sedan;7704004
C_CND_000042;Volvo;S80;Manual;Pale White;21000;Sedan;8018700
C_CND_000043;Chevrolet;Lumina;Manual;Black;42500;Passenger;6793858
C_CND_000044;Mitsubishi;Montero Sport;Auto;Black;45001;Hatchback;6739543
C_CND_000045;Pontiac;Bonneville;Manual;Black;36001;Hatchback;6091237
C_CND_000046;Mercedes-B;C-Class;Manual;Pale White;12000;Hatchback;6547535
C_CND_000047;BMW;323i;Manual;Pale White;21001;Hatchback;8689761
C_CND_000048;Acura;TL;Auto;Pale White;29000;Hatchback;6404807
C_CND_000049;Nissan;Altima;Auto;Pale White;20000;Hatchback;7117432
C_CND_000050;Cadillac;DeVille;Auto;Pale White;22000;SUV;7836930
C_CND_000051;Dodge;Stratus;Auto;Pale White;31000;Hatchback;7316398
C_CND_000052;Audi;A4;Auto;Black;27000;Hardtop;7680267
C_CND_000053;Mercury;Cougar;Auto;Black;33000;Hatchback;6402878
C_CND_000054;Chevrolet;Malibu;Manual;Pale White;14000;Hardtop;7890478
C_CND_000055;Acura;RL;Manual;Pale White;17000;SUV;8523869
C_CND_000056;Saturn;SW;Auto;Pale White;25600;Passenger;8852693
C_CND_000057;Volvo;C70;Manual;Black;17000;Hatchback;6444851
C_CND_000058;Mercury;Mountaineer;Manual;Pale White;21000;SUV;6052630
C_CND_000059;Mercedes-B;C-Class;Manual;Pale White;12000;Hatchback;8939776
C_CND_000060;Mercedes-B;SLK;Manual;Pale White;17000;Passenger;7177888
